date,idxSubject,idxCategory,idxCd,idxNm,share,value,qtyUnit,currency
2013-11-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,1320,T,USD
2013-11-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,1213,T,USD
2013-11-22,marketIdx,SCFI,EUNE,EU(Base port),0.2,1078,T,USD
2013-11-29,marketIdx,SCFI,EUNE,EU(Base port),0.2,1000,T,USD
2013-12-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,987,T,USD
2013-12-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,1586,T,USD
2013-12-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,1526,T,USD
2013-12-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,1511,T,USD
2014-01-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,1765,T,USD
2014-01-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,1713,T,USD
2014-01-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,1641,T,USD
2014-01-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,1598,T,USD
2014-01-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1580,T,USD
2014-02-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,1567,T,USD
2014-02-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,1379,T,USD
2014-02-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,1233,T,USD
2014-02-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,1110,T,USD
2014-03-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,988,T,USD
2014-03-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,888,T,USD
2014-03-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,843,T,USD
2014-03-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,1214,T,USD
2014-04-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,1242,T,USD
2014-04-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,1156,T,USD
2014-04-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,1077,T,USD
2014-04-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,1084,T,USD
2014-04-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1305,T,USD
2014-05-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,1401,T,USD
2014-05-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,1287,T,USD
2014-05-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,1188,T,USD
2014-05-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1155,T,USD
2014-06-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,1183,T,USD
2014-06-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,1202,T,USD
2014-06-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,1120,T,USD
2014-06-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,1106,T,USD
2014-07-04,marketIdx,SCFI,EUNE,EU(Base port),0.2,1416,T,USD
2014-07-11,marketIdx,SCFI,EUNE,EU(Base port),0.2,1302,T,USD
2014-07-18,marketIdx,SCFI,EUNE,EU(Base port),0.2,1230,T,USD
2014-07-25,marketIdx,SCFI,EUNE,EU(Base port),0.2,1203,T,USD
2014-08-01,marketIdx,SCFI,EUNE,EU(Base port),0.2,1455,T,USD
2014-08-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,1341,T,USD
2014-08-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,1198,T,USD
2014-08-22,marketIdx,SCFI,EUNE,EU(Base port),0.2,1106,T,USD
2014-08-29,marketIdx,SCFI,EUNE,EU(Base port),0.2,1083,T,USD
2014-09-05,marketIdx,SCFI,EUNE,EU(Base port),0.2,1129,T,USD
2014-09-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,1055,T,USD
2014-09-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,908,T,USD
2014-09-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,822,T,USD
2014-10-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,780,T,USD
2014-10-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,738,T,USD
2014-10-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,705,T,USD
2014-10-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,697,T,USD
2014-10-31,marketIdx,SCFI,EUNE,EU(Base port),0.2,1312,T,USD
2014-11-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,1175,T,USD
2014-11-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,934,T,USD
2014-11-21,marketIdx,SCFI,EUNE,EU(Base port),0.2,809,T,USD
2014-11-28,marketIdx,SCFI,EUNE,EU(Base port),0.2,739,T,USD
2014-12-05,marketIdx,SCFI,EUNE,EU(Base port),0.2,719,T,USD
2014-12-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,1353,T,USD
2014-12-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,1230,T,USD
2014-12-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,1149,T,USD
2014-12-31,marketIdx,SCFI,EUNE,EU(Base port),0.2,1085,T,USD
2015-01-09,marketIdx,SCFI,EUNE,EU(Base port),0.2,975,T,USD
2015-01-16,marketIdx,SCFI,EUNE,EU(Base port),0.2,1008,T,USD
2015-01-23,marketIdx,SCFI,EUNE,EU(Base port),0.2,1256,T,USD
2015-01-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,1153,T,USD
2015-02-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,1057,T,USD
2015-02-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,1003,T,USD
2015-02-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,970.5,T,USD
2015-02-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,938,T,USD
2015-03-06,marketIdx,SCFI,EUNE,EU(Base port),0.2,816,T,USD
2015-03-13,marketIdx,SCFI,EUNE,EU(Base port),0.2,708,T,USD
2015-03-20,marketIdx,SCFI,EUNE,EU(Base port),0.2,620,T,USD
2015-03-27,marketIdx,SCFI,EUNE,EU(Base port),0.2,586,T,USD
2015-04-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,511,T,USD
2015-04-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,466,T,USD
2015-04-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,399,T,USD
2015-04-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,349,T,USD
2015-04-30,marketIdx,SCFI,EUNE,EU(Base port),0.2,343,T,USD
2015-05-08,marketIdx,SCFI,EUNE,EU(Base port),0.2,861,T,USD
2015-05-15,marketIdx,SCFI,EUNE,EU(Base port),0.2,658,T,USD
2015-05-22,marketIdx,SCFI,EUNE,EU(Base port),0.2,444,T,USD
2015-05-29,marketIdx,SCFI,EUNE,EU(Base port),0.2,342,T,USD
2015-06-05,marketIdx,SCFI,EUNE,EU(Base port),0.2,284,T,USD
2015-06-12,marketIdx,SCFI,EUNE,EU(Base port),0.2,243,T,USD
2015-06-19,marketIdx,SCFI,EUNE,EU(Base port),0.2,205,T,USD
2015-06-26,marketIdx,SCFI,EUNE,EU(Base port),0.2,548,T,USD
2015-07-03,marketIdx,SCFI,EUNE,EU(Base port),0.2,879,T,USD
2015-07-10,marketIdx,SCFI,EUNE,EU(Base port),0.2,699,T,USD
2015-07-17,marketIdx,SCFI,EUNE,EU(Base port),0.2,518,T,USD
2015-07-24,marketIdx,SCFI,EUNE,EU(Base port),0.2,400,T,USD
2015-07-31,marketIdx,SCFI,EUNE,EU(Base port),0.2,1109,T,USD
2015-08-07,marketIdx,SCFI,EUNE,EU(Base port),0.2,833,T,USD
2015-08-14,marketIdx,SCFI,EUNE,EU(Base port),0.2,640,T,USD
