idx,day
100605,20210828
100606,20210829
100607,20210830
100608,20210831
100609,20210901
100610,20210902
100611,20210903
100612,20210904
100613,20210905
100614,20210906
100615,20210907
100616,20210908
100617,20210909
100618,20210910
100619,20210911
100620,20210912
100621,20210913
100622,20210914
100623,20210915
100624,20210916
100625,20210917
100626,20210918
100627,20210919
100628,20210920
100629,20210921
100630,20210922
100631,20210923
100632,20210924
100633,20210925
100634,20210926
100635,20210927
100636,20210928
100637,20210929
100638,20210930
100639,20211001
100640,20211002
100641,20211003
100642,20211004
100643,20211005
100644,20211006
100645,20211007
100646,20211008
100647,20211009
100648,20211010
100649,20211011
100650,20211012
100651,20211013
100652,20211014
100653,20211015
100654,20211016
100655,20211017
100656,20211018
100657,20211019
100658,20211020
100659,20211021
100660,20211022
100661,20211023
100662,20211024
100663,20211025
100664,20211026
100665,20211027
100666,20211028
100667,20211029
100668,20211030
100669,20211031
100670,20211101
100671,20211102
100672,20211103
100673,20211104
100674,20211105
100675,20211106
100676,20211107
100677,20211108
100678,20211109
100679,20211110
100680,20211111
100681,20211112
100682,20211113
100683,20211114
100684,20211115
100685,20211116
100686,20211117
100687,20211118
100688,20211119
100689,20211120
100690,20211121
100691,20211122
100692,20211123
100693,20211124
100694,20211125
100695,20211126
100696,20211127
100697,20211128
100698,20211129
100699,20211130
100700,20211201
100701,20211202
100702,20211203
100703,20211204
100704,20211205
100705,20211206
100706,20211207
100707,20211208
100708,20211209
100709,20211210
100710,20211211
100711,20211212
100712,20211213
100713,20211214
100714,20211215
100715,20211216
100716,20211217
100717,20211218
100718,20211219
100719,20211220
100720,20211221
100721,20211222
100722,20211223
100723,20211224
100724,20211225
100725,20211226
100726,20211227
100727,20211228
100728,20211229
100729,20211230
100730,20211231
